阳痿,枸橼酸西地那非...
阳痿,枸橼酸西地那非...
阳痿,他达拉非片
乙肝,恩替卡韦分散片
乙肝,碧云砂乙肝颗粒
乙肝,注射用盐酸精氨...
癫痫,普瑞巴林胶囊
癫痫,奥卡西平片
癫痫,左乙拉西坦片
月经不调,定坤丹
月经不调,加味益母草膏
月经不调,艾附暖宫丸
颈椎病,消痛贴膏
颈椎病,颈腰康胶囊
颈椎病,颈复康颗粒
腰肌劳损,腰痛宁胶囊
腰肌劳损,腰息痛胶囊
腰肌劳损,消痛贴膏
尿路感染,盐酸左氧氟沙星...
尿路感染,盐酸头孢他美酯...
尿路感染,注射用盐酸左氧...
股骨头坏死,通络生骨胶囊
股骨头坏死,硫酸氨基葡萄糖...
股骨头坏死,活血健骨片
精神分裂症,盐酸三氟拉嗪
精神分裂症,盐酸氟奋乃静片
精神分裂症,卡马西平片
早孕反应,叶酸片
早孕反应,嗣育保胎丸
早孕反应,胎宝胶囊
食道癌,云芝糖肽胶囊
食道癌,复方天仙胶囊
食道癌,去甲斑蝥素片
麦粒肿,复方磺胺甲噁唑...
麦粒肿,头孢克洛干混悬...
麦粒肿,熊胆黄芩滴眼液
鼻咽癌,平消胶囊
鼻咽癌,鼻咽灵片
鼻咽癌,转移因子口服溶...
急性胰腺炎,清胰利胆颗粒
急性胰腺炎,醋酸奥曲肽注射...
急性胰腺炎,醋酸奥曲肽注射...
胆囊炎,盐酸左氧氟沙星...
胆囊炎,盐酸米诺环素胶...
胆囊炎,盐酸左氧氟沙星...
地中海贫血,鱼鳞病片
地中海贫血,参一胶囊
地中海贫血,康逆胶囊
子宫内膜癌,金鸡颗粒
子宫内膜癌,金鸡片
子宫内膜癌,金鸡胶囊
动脉硬化,活血通脉片
动脉硬化,复方氨基丁酸维...
动脉硬化,长春胺缓释胶囊
扁平疣,转移因子胶囊
扁平疣,十三味菥蓂丸
扁平疣,五妙水仙膏
神经衰弱,天麻素胶囊
神经衰弱,泻肝安神丸
神经衰弱,益脑胶囊
尿道炎,复方石韦颗粒
尿道炎,磷霉素氨丁三醇...
尿道炎,解毒通淋丸
性欲亢进,抑亢丸
性欲亢进,甲亢灵胶囊
性欲亢进,甲亢灵颗粒
哮喘,盐酸氨溴索片
哮喘,胆茶碱片
哮喘,曲尼司特胶囊
尿毒症,复方α-酮酸片
尿毒症,吗替麦考酚酯胶...
尿毒症,他克莫司胶囊
流产,孕康颗粒
流产,注射用绒促性素
流产,维生素E软胶囊
低血压,注射用左卡尼汀
低血压,注射用左卡尼汀
低血压,注射用左卡尼汀
不孕症,地屈孕酮片
不孕症,天紫红女金胶囊
不孕症,散结镇痛胶囊
肾虚,肾宝片
肾虚,四子填精胶囊
肾虚,蓉蛾益肾口服液
婴幼儿腹泻,肠炎宁片
婴幼儿腹泻,止痢宁片
婴幼儿腹泻,复方小檗碱鞣酸...
